Product.code	Bureau.of.Meteorology.station.number	Year	Month	Day	Rainfall.amount..millimetres.	Period.over.which.rainfall.was.measured..days.	Quality	Month_seq	rnum	date_yyyymmdd
IDCJAC0009	40537	1960	1	1	NA	NA		1	1	1960-01-01
IDCJAC0009	40537	1960	1	2	NA	NA		1	2	1960-01-02
IDCJAC0009	40537	1960	1	3	NA	NA		1	3	1960-01-03
IDCJAC0009	40537	1960	1	4	NA	NA		1	4	1960-01-04
IDCJAC0009	40537	1960	1	5	NA	NA		1	5	1960-01-05
IDCJAC0009	40537	1960	1	6	NA	NA		1	6	1960-01-06
IDCJAC0009	40537	1960	1	7	NA	NA		1	7	1960-01-07
IDCJAC0009	40537	1960	1	8	NA	NA		1	8	1960-01-08
IDCJAC0009	40537	1960	1	9	NA	NA		1	9	1960-01-09
IDCJAC0009	40537	1960	1	10	NA	NA		1	10	1960-01-10
IDCJAC0009	40537	1960	1	11	NA	NA		1	11	1960-01-11
IDCJAC0009	40537	1960	1	12	NA	NA		1	12	1960-01-12
IDCJAC0009	40537	1960	1	13	NA	NA		1	13	1960-01-13
IDCJAC0009	40537	1960	1	14	NA	NA		1	14	1960-01-14
IDCJAC0009	40537	1960	1	15	NA	NA		1	15	1960-01-15
IDCJAC0009	40537	1960	1	16	NA	NA		1	16	1960-01-16
IDCJAC0009	40537	1960	1	17	NA	NA		1	17	1960-01-17
IDCJAC0009	40537	1960	1	18	NA	NA		1	18	1960-01-18
IDCJAC0009	40537	1960	1	19	NA	NA		1	19	1960-01-19
IDCJAC0009	40537	1960	1	20	NA	NA		1	20	1960-01-20
IDCJAC0009	40537	1960	1	21	NA	NA		1	21	1960-01-21
IDCJAC0009	40537	1960	1	22	NA	NA		1	22	1960-01-22
IDCJAC0009	40537	1960	1	23	NA	NA		1	23	1960-01-23
IDCJAC0009	40537	1960	1	24	NA	NA		1	24	1960-01-24
IDCJAC0009	40537	1960	1	25	NA	NA		1	25	1960-01-25
IDCJAC0009	40537	1960	1	26	NA	NA		1	26	1960-01-26
IDCJAC0009	40537	1960	1	27	NA	NA		1	27	1960-01-27
IDCJAC0009	40537	1960	1	28	NA	NA		1	28	1960-01-28
IDCJAC0009	40537	1960	1	29	NA	NA		1	29	1960-01-29
IDCJAC0009	40537	1960	1	30	NA	NA		1	30	1960-01-30
IDCJAC0009	40537	1960	1	31	NA	NA		1	31	1960-01-31
IDCJAC0009	40537	1960	2	1	NA	NA		2	32	1960-02-01
IDCJAC0009	40537	1960	2	2	NA	NA		2	33	1960-02-02
IDCJAC0009	40537	1960	2	3	NA	NA		2	34	1960-02-03
IDCJAC0009	40537	1960	2	4	NA	NA		2	35	1960-02-04
IDCJAC0009	40537	1960	2	5	NA	NA		2	36	1960-02-05
IDCJAC0009	40537	1960	2	6	NA	NA		2	37	1960-02-06
IDCJAC0009	40537	1960	2	7	NA	NA		2	38	1960-02-07
IDCJAC0009	40537	1960	2	8	NA	NA		2	39	1960-02-08
IDCJAC0009	40537	1960	2	9	NA	NA		2	40	1960-02-09
IDCJAC0009	40537	1960	2	10	NA	NA		2	41	1960-02-10
IDCJAC0009	40537	1960	2	11	NA	NA		2	42	1960-02-11
IDCJAC0009	40537	1960	2	12	NA	NA		2	43	1960-02-12
IDCJAC0009	40537	1960	2	13	NA	NA		2	44	1960-02-13
IDCJAC0009	40537	1960	2	14	NA	NA		2	45	1960-02-14
IDCJAC0009	40537	1960	2	15	NA	NA		2	46	1960-02-15
IDCJAC0009	40537	1960	2	16	NA	NA		2	47	1960-02-16
IDCJAC0009	40537	1960	2	17	NA	NA		2	48	1960-02-17
IDCJAC0009	40537	1960	2	18	NA	NA		2	49	1960-02-18
IDCJAC0009	40537	1960	2	19	NA	NA		2	50	1960-02-19
IDCJAC0009	40537	1960	2	20	NA	NA		2	51	1960-02-20
IDCJAC0009	40537	1960	2	21	NA	NA		2	52	1960-02-21
IDCJAC0009	40537	1960	2	22	NA	NA		2	53	1960-02-22
IDCJAC0009	40537	1960	2	23	NA	NA		2	54	1960-02-23
IDCJAC0009	40537	1960	2	24	NA	NA		2	55	1960-02-24
IDCJAC0009	40537	1960	2	25	NA	NA		2	56	1960-02-25
IDCJAC0009	40537	1960	2	26	NA	NA		2	57	1960-02-26
IDCJAC0009	40537	1960	2	27	NA	NA		2	58	1960-02-27
IDCJAC0009	40537	1960	2	28	NA	NA		2	59	1960-02-28
IDCJAC0009	40537	1960	2	29	NA	NA		2	60	1960-02-29
IDCJAC0009	40537	1960	3	1	NA	NA		3	61	1960-03-01
IDCJAC0009	40537	1960	3	2	NA	NA		3	62	1960-03-02
IDCJAC0009	40537	1960	3	3	NA	NA		3	63	1960-03-03
IDCJAC0009	40537	1960	3	4	NA	NA		3	64	1960-03-04
IDCJAC0009	40537	1960	3	5	NA	NA		3	65	1960-03-05
IDCJAC0009	40537	1960	3	6	NA	NA		3	66	1960-03-06
IDCJAC0009	40537	1960	3	7	NA	NA		3	67	1960-03-07
IDCJAC0009	40537	1960	3	8	NA	NA		3	68	1960-03-08
IDCJAC0009	40537	1960	3	9	NA	NA		3	69	1960-03-09
IDCJAC0009	40537	1960	3	10	NA	NA		3	70	1960-03-10
IDCJAC0009	40537	1960	3	11	NA	NA		3	71	1960-03-11
IDCJAC0009	40537	1960	3	12	NA	NA		3	72	1960-03-12
IDCJAC0009	40537	1960	3	13	NA	NA		3	73	1960-03-13
IDCJAC0009	40537	1960	3	14	NA	NA		3	74	1960-03-14
IDCJAC0009	40537	1960	3	15	NA	NA		3	75	1960-03-15
IDCJAC0009	40537	1960	3	16	NA	NA		3	76	1960-03-16
IDCJAC0009	40537	1960	3	17	NA	NA		3	77	1960-03-17
IDCJAC0009	40537	1960	3	18	NA	NA		3	78	1960-03-18
IDCJAC0009	40537	1960	3	19	NA	NA		3	79	1960-03-19
IDCJAC0009	40537	1960	3	20	NA	NA		3	80	1960-03-20
IDCJAC0009	40537	1960	3	21	NA	NA		3	81	1960-03-21
IDCJAC0009	40537	1960	3	22	NA	NA		3	82	1960-03-22
IDCJAC0009	40537	1960	3	23	NA	NA		3	83	1960-03-23
IDCJAC0009	40537	1960	3	24	NA	NA		3	84	1960-03-24
IDCJAC0009	40537	1960	3	25	NA	NA		3	85	1960-03-25
IDCJAC0009	40537	1960	3	26	NA	NA		3	86	1960-03-26
IDCJAC0009	40537	1960	3	27	NA	NA		3	87	1960-03-27
IDCJAC0009	40537	1960	3	28	NA	NA		3	88	1960-03-28
IDCJAC0009	40537	1960	3	29	NA	NA		3	89	1960-03-29
IDCJAC0009	40537	1960	3	30	NA	NA		3	90	1960-03-30
IDCJAC0009	40537	1960	3	31	NA	NA		3	91	1960-03-31
IDCJAC0009	40537	1960	4	1	NA	NA		4	92	1960-04-01
IDCJAC0009	40537	1960	4	2	NA	NA		4	93	1960-04-02
IDCJAC0009	40537	1960	4	3	NA	NA		4	94	1960-04-03
IDCJAC0009	40537	1960	4	4	NA	NA		4	95	1960-04-04
IDCJAC0009	40537	1960	4	5	NA	NA		4	96	1960-04-05
IDCJAC0009	40537	1960	4	6	NA	NA		4	97	1960-04-06
IDCJAC0009	40537	1960	4	7	NA	NA		4	98	1960-04-07
IDCJAC0009	40537	1960	4	8	NA	NA		4	99	1960-04-08
IDCJAC0009	40537	1960	4	9	NA	NA		4	100	1960-04-09
IDCJAC0009	40537	1960	4	10	NA	NA		4	101	1960-04-10
IDCJAC0009	40537	1960	4	11	NA	NA		4	102	1960-04-11
IDCJAC0009	40537	1960	4	12	NA	NA		4	103	1960-04-12
IDCJAC0009	40537	1960	4	13	NA	NA		4	104	1960-04-13
IDCJAC0009	40537	1960	4	14	NA	NA		4	105	1960-04-14
IDCJAC0009	40537	1960	4	15	NA	NA		4	106	1960-04-15
IDCJAC0009	40537	1960	4	16	NA	NA		4	107	1960-04-16
IDCJAC0009	40537	1960	4	17	NA	NA		4	108	1960-04-17
IDCJAC0009	40537	1960	4	18	NA	NA		4	109	1960-04-18
IDCJAC0009	40537	1960	4	19	NA	NA		4	110	1960-04-19
IDCJAC0009	40537	1960	4	20	NA	NA		4	111	1960-04-20
IDCJAC0009	40537	1960	4	21	NA	NA		4	112	1960-04-21
IDCJAC0009	40537	1960	4	22	NA	NA		4	113	1960-04-22
IDCJAC0009	40537	1960	4	23	NA	NA		4	114	1960-04-23
IDCJAC0009	40537	1960	4	24	NA	NA		4	115	1960-04-24
IDCJAC0009	40537	1960	4	25	NA	NA		4	116	1960-04-25
IDCJAC0009	40537	1960	4	26	NA	NA		4	117	1960-04-26
IDCJAC0009	40537	1960	4	27	NA	NA		4	118	1960-04-27
IDCJAC0009	40537	1960	4	28	NA	NA		4	119	1960-04-28
IDCJAC0009	40537	1960	4	29	NA	NA		4	120	1960-04-29
IDCJAC0009	40537	1960	4	30	NA	NA		4	121	1960-04-30
IDCJAC0009	40537	1960	5	1	NA	NA		5	122	1960-05-01
IDCJAC0009	40537	1960	5	2	NA	NA		5	123	1960-05-02
IDCJAC0009	40537	1960	5	3	NA	NA		5	124	1960-05-03
IDCJAC0009	40537	1960	5	4	NA	NA		5	125	1960-05-04
IDCJAC0009	40537	1960	5	5	NA	NA		5	126	1960-05-05
IDCJAC0009	40537	1960	5	6	NA	NA		5	127	1960-05-06
IDCJAC0009	40537	1960	5	7	NA	NA		5	128	1960-05-07
IDCJAC0009	40537	1960	5	8	NA	NA		5	129	1960-05-08
IDCJAC0009	40537	1960	5	9	NA	NA		5	130	1960-05-09
IDCJAC0009	40537	1960	5	10	NA	NA		5	131	1960-05-10
IDCJAC0009	40537	1960	5	11	NA	NA		5	132	1960-05-11
IDCJAC0009	40537	1960	5	12	NA	NA		5	133	1960-05-12
IDCJAC0009	40537	1960	5	13	NA	NA		5	134	1960-05-13
IDCJAC0009	40537	1960	5	14	NA	NA		5	135	1960-05-14
IDCJAC0009	40537	1960	5	15	NA	NA		5	136	1960-05-15
IDCJAC0009	40537	1960	5	16	NA	NA		5	137	1960-05-16
IDCJAC0009	40537	1960	5	17	NA	NA		5	138	1960-05-17
IDCJAC0009	40537	1960	5	18	NA	NA		5	139	1960-05-18
IDCJAC0009	40537	1960	5	19	NA	NA		5	140	1960-05-19
IDCJAC0009	40537	1960	5	20	NA	NA		5	141	1960-05-20
IDCJAC0009	40537	1960	5	21	NA	NA		5	142	1960-05-21
IDCJAC0009	40537	1960	5	22	NA	NA		5	143	1960-05-22
IDCJAC0009	40537	1960	5	23	NA	NA		5	144	1960-05-23
IDCJAC0009	40537	1960	5	24	NA	NA		5	145	1960-05-24
IDCJAC0009	40537	1960	5	25	NA	NA		5	146	1960-05-25
IDCJAC0009	40537	1960	5	26	NA	NA		5	147	1960-05-26
IDCJAC0009	40537	1960	5	27	NA	NA		5	148	1960-05-27
IDCJAC0009	40537	1960	5	28	NA	NA		5	149	1960-05-28
IDCJAC0009	40537	1960	5	29	NA	NA		5	150	1960-05-29
IDCJAC0009	40537	1960	5	30	NA	NA		5	151	1960-05-30
IDCJAC0009	40537	1960	5	31	NA	NA		5	152	1960-05-31
IDCJAC0009	40537	1960	6	1	NA	NA		6	153	1960-06-01
IDCJAC0009	40537	1960	6	2	NA	NA		6	154	1960-06-02
IDCJAC0009	40537	1960	6	3	NA	NA		6	155	1960-06-03
