Product.code	Bureau.of.Meteorology.station.number	Year	Month	Day	Rainfall.amount..millimetres.	Period.over.which.rainfall.was.measured..days.	Quality	Month_seq	rnum	date_yyyymmdd
IDCJAC0009	40175	1947	1	1	NA	NA		1	1	1947-01-01
IDCJAC0009	40175	1947	1	2	NA	NA		1	2	1947-01-02
IDCJAC0009	40175	1947	1	3	NA	NA		1	3	1947-01-03
IDCJAC0009	40175	1947	1	4	NA	NA		1	4	1947-01-04
IDCJAC0009	40175	1947	1	5	NA	NA		1	5	1947-01-05
IDCJAC0009	40175	1947	1	6	NA	NA		1	6	1947-01-06
IDCJAC0009	40175	1947	1	7	NA	NA		1	7	1947-01-07
IDCJAC0009	40175	1947	1	8	NA	NA		1	8	1947-01-08
IDCJAC0009	40175	1947	1	9	NA	NA		1	9	1947-01-09
IDCJAC0009	40175	1947	1	10	NA	NA		1	10	1947-01-10
IDCJAC0009	40175	1947	1	11	NA	NA		1	11	1947-01-11
IDCJAC0009	40175	1947	1	12	NA	NA		1	12	1947-01-12
IDCJAC0009	40175	1947	1	13	NA	NA		1	13	1947-01-13
IDCJAC0009	40175	1947	1	14	NA	NA		1	14	1947-01-14
IDCJAC0009	40175	1947	1	15	NA	NA		1	15	1947-01-15
IDCJAC0009	40175	1947	1	16	NA	NA		1	16	1947-01-16
IDCJAC0009	40175	1947	1	17	NA	NA		1	17	1947-01-17
IDCJAC0009	40175	1947	1	18	NA	NA		1	18	1947-01-18
IDCJAC0009	40175	1947	1	19	NA	NA		1	19	1947-01-19
IDCJAC0009	40175	1947	1	20	NA	NA		1	20	1947-01-20
IDCJAC0009	40175	1947	1	21	NA	NA		1	21	1947-01-21
IDCJAC0009	40175	1947	1	22	NA	NA		1	22	1947-01-22
IDCJAC0009	40175	1947	1	23	NA	NA		1	23	1947-01-23
IDCJAC0009	40175	1947	1	24	NA	NA		1	24	1947-01-24
IDCJAC0009	40175	1947	1	25	NA	NA		1	25	1947-01-25
IDCJAC0009	40175	1947	1	26	NA	NA		1	26	1947-01-26
IDCJAC0009	40175	1947	1	27	NA	NA		1	27	1947-01-27
IDCJAC0009	40175	1947	1	28	NA	NA		1	28	1947-01-28
IDCJAC0009	40175	1947	1	29	NA	NA		1	29	1947-01-29
IDCJAC0009	40175	1947	1	30	NA	NA		1	30	1947-01-30
IDCJAC0009	40175	1947	1	31	NA	NA		1	31	1947-01-31
IDCJAC0009	40175	1947	2	1	2.5	1	Y	2	32	1947-02-01
IDCJAC0009	40175	1947	2	2	3.6	1	Y	2	33	1947-02-02
IDCJAC0009	40175	1947	2	3	6.1	1	Y	2	34	1947-02-03
IDCJAC0009	40175	1947	2	4	2.5	1	Y	2	35	1947-02-04
IDCJAC0009	40175	1947	2	5	0.5	1	Y	2	36	1947-02-05
IDCJAC0009	40175	1947	2	6	0	NA	Y	2	37	1947-02-06
IDCJAC0009	40175	1947	2	7	2.8	1	Y	2	38	1947-02-07
IDCJAC0009	40175	1947	2	8	0	NA	Y	2	39	1947-02-08
IDCJAC0009	40175	1947	2	9	0	NA	Y	2	40	1947-02-09
IDCJAC0009	40175	1947	2	10	0	NA	Y	2	41	1947-02-10
IDCJAC0009	40175	1947	2	11	1.3	1	Y	2	42	1947-02-11
IDCJAC0009	40175	1947	2	12	2.5	1	Y	2	43	1947-02-12
IDCJAC0009	40175	1947	2	13	74.9	1	Y	2	44	1947-02-13
IDCJAC0009	40175	1947	2	14	66	1	Y	2	45	1947-02-14
IDCJAC0009	40175	1947	2	15	11.4	1	Y	2	46	1947-02-15
IDCJAC0009	40175	1947	2	16	0.5	1	Y	2	47	1947-02-16
IDCJAC0009	40175	1947	2	17	2.5	1	Y	2	48	1947-02-17
IDCJAC0009	40175	1947	2	18	0	NA	Y	2	49	1947-02-18
IDCJAC0009	40175	1947	2	19	0	NA	Y	2	50	1947-02-19
IDCJAC0009	40175	1947	2	20	0	NA	Y	2	51	1947-02-20
IDCJAC0009	40175	1947	2	21	4.6	1	Y	2	52	1947-02-21
IDCJAC0009	40175	1947	2	22	0.5	1	Y	2	53	1947-02-22
IDCJAC0009	40175	1947	2	23	0	NA	Y	2	54	1947-02-23
IDCJAC0009	40175	1947	2	24	0	NA	Y	2	55	1947-02-24
IDCJAC0009	40175	1947	2	25	0.8	1	Y	2	56	1947-02-25
IDCJAC0009	40175	1947	2	26	0	NA	Y	2	57	1947-02-26
IDCJAC0009	40175	1947	2	27	14	1	Y	2	58	1947-02-27
IDCJAC0009	40175	1947	2	28	0.8	1	Y	2	59	1947-02-28
IDCJAC0009	40175	1947	3	1	21.6	1	Y	3	60	1947-03-01
IDCJAC0009	40175	1947	3	2	140.2	1	Y	3	61	1947-03-02
IDCJAC0009	40175	1947	3	3	2.3	1	Y	3	62	1947-03-03
IDCJAC0009	40175	1947	3	4	4.3	1	Y	3	63	1947-03-04
IDCJAC0009	40175	1947	3	5	11.9	1	Y	3	64	1947-03-05
IDCJAC0009	40175	1947	3	6	3.3	1	Y	3	65	1947-03-06
IDCJAC0009	40175	1947	3	7	19.8	1	Y	3	66	1947-03-07
IDCJAC0009	40175	1947	3	8	0.8	1	Y	3	67	1947-03-08
IDCJAC0009	40175	1947	3	9	1	1	Y	3	68	1947-03-09
IDCJAC0009	40175	1947	3	10	1.3	1	Y	3	69	1947-03-10
IDCJAC0009	40175	1947	3	11	0.8	1	Y	3	70	1947-03-11
IDCJAC0009	40175	1947	3	12	1.5	1	Y	3	71	1947-03-12
IDCJAC0009	40175	1947	3	13	0.5	1	Y	3	72	1947-03-13
IDCJAC0009	40175	1947	3	14	0	NA	Y	3	73	1947-03-14
IDCJAC0009	40175	1947	3	15	0.5	1	Y	3	74	1947-03-15
IDCJAC0009	40175	1947	3	16	5.1	1	Y	3	75	1947-03-16
IDCJAC0009	40175	1947	3	17	0	NA	Y	3	76	1947-03-17
IDCJAC0009	40175	1947	3	18	0	NA	Y	3	77	1947-03-18
IDCJAC0009	40175	1947	3	19	8.1	1	Y	3	78	1947-03-19
IDCJAC0009	40175	1947	3	20	0	NA	Y	3	79	1947-03-20
