Product.code	Bureau.of.Meteorology.station.number	Year	Month	Day	Rainfall.amount..millimetres.	Period.over.which.rainfall.was.measured..days.	Quality	Month_seq	rnum	date_yyyymmdd
IDCJAC0009	39085	1887	1	1	NA	NA		1	1	1887-01-01
IDCJAC0009	39085	1887	1	2	NA	NA		1	2	1887-01-02
IDCJAC0009	39085	1887	1	3	NA	NA		1	3	1887-01-03
IDCJAC0009	39085	1887	1	4	NA	NA		1	4	1887-01-04
IDCJAC0009	39085	1887	1	5	NA	NA		1	5	1887-01-05
IDCJAC0009	39085	1887	1	6	NA	NA		1	6	1887-01-06
IDCJAC0009	39085	1887	1	7	NA	NA		1	7	1887-01-07
IDCJAC0009	39085	1887	1	8	NA	NA		1	8	1887-01-08
IDCJAC0009	39085	1887	1	9	NA	NA		1	9	1887-01-09
IDCJAC0009	39085	1887	1	10	NA	NA		1	10	1887-01-10
IDCJAC0009	39085	1887	1	11	NA	NA		1	11	1887-01-11
IDCJAC0009	39085	1887	1	12	NA	NA		1	12	1887-01-12
IDCJAC0009	39085	1887	1	13	NA	NA		1	13	1887-01-13
IDCJAC0009	39085	1887	1	14	NA	NA		1	14	1887-01-14
IDCJAC0009	39085	1887	1	15	NA	NA		1	15	1887-01-15
IDCJAC0009	39085	1887	1	16	NA	NA		1	16	1887-01-16
IDCJAC0009	39085	1887	1	17	NA	NA		1	17	1887-01-17
IDCJAC0009	39085	1887	1	18	NA	NA		1	18	1887-01-18
IDCJAC0009	39085	1887	1	19	NA	NA		1	19	1887-01-19
IDCJAC0009	39085	1887	1	20	NA	NA		1	20	1887-01-20
IDCJAC0009	39085	1887	1	21	NA	NA		1	21	1887-01-21
IDCJAC0009	39085	1887	1	22	NA	NA		1	22	1887-01-22
IDCJAC0009	39085	1887	1	23	NA	NA		1	23	1887-01-23
IDCJAC0009	39085	1887	1	24	NA	NA		1	24	1887-01-24
IDCJAC0009	39085	1887	1	25	NA	NA		1	25	1887-01-25
IDCJAC0009	39085	1887	1	26	NA	NA		1	26	1887-01-26
IDCJAC0009	39085	1887	1	27	NA	NA		1	27	1887-01-27
IDCJAC0009	39085	1887	1	28	NA	NA		1	28	1887-01-28
IDCJAC0009	39085	1887	1	29	NA	NA		1	29	1887-01-29
IDCJAC0009	39085	1887	1	30	NA	NA		1	30	1887-01-30
IDCJAC0009	39085	1887	1	31	NA	NA		1	31	1887-01-31
IDCJAC0009	39085	1887	2	1	NA	NA		2	32	1887-02-01
IDCJAC0009	39085	1887	2	2	NA	NA		2	33	1887-02-02
IDCJAC0009	39085	1887	2	3	NA	NA		2	34	1887-02-03
IDCJAC0009	39085	1887	2	4	NA	NA		2	35	1887-02-04
IDCJAC0009	39085	1887	2	5	NA	NA		2	36	1887-02-05
IDCJAC0009	39085	1887	2	6	NA	NA		2	37	1887-02-06
IDCJAC0009	39085	1887	2	7	NA	NA		2	38	1887-02-07
IDCJAC0009	39085	1887	2	8	NA	NA		2	39	1887-02-08
IDCJAC0009	39085	1887	2	9	NA	NA		2	40	1887-02-09
IDCJAC0009	39085	1887	2	10	NA	NA		2	41	1887-02-10
IDCJAC0009	39085	1887	2	11	NA	NA		2	42	1887-02-11
IDCJAC0009	39085	1887	2	12	NA	NA		2	43	1887-02-12
IDCJAC0009	39085	1887	2	13	NA	NA		2	44	1887-02-13
IDCJAC0009	39085	1887	2	14	NA	NA		2	45	1887-02-14
IDCJAC0009	39085	1887	2	15	NA	NA		2	46	1887-02-15
IDCJAC0009	39085	1887	2	16	NA	NA		2	47	1887-02-16
IDCJAC0009	39085	1887	2	17	NA	NA		2	48	1887-02-17
IDCJAC0009	39085	1887	2	18	NA	NA		2	49	1887-02-18
IDCJAC0009	39085	1887	2	19	NA	NA		2	50	1887-02-19
IDCJAC0009	39085	1887	2	20	NA	NA		2	51	1887-02-20
IDCJAC0009	39085	1887	2	21	NA	NA		2	52	1887-02-21
IDCJAC0009	39085	1887	2	22	NA	NA		2	53	1887-02-22
IDCJAC0009	39085	1887	2	23	NA	NA		2	54	1887-02-23
IDCJAC0009	39085	1887	2	24	NA	NA		2	55	1887-02-24
IDCJAC0009	39085	1887	2	25	NA	NA		2	56	1887-02-25
IDCJAC0009	39085	1887	2	26	NA	NA		2	57	1887-02-26
IDCJAC0009	39085	1887	2	27	NA	NA		2	58	1887-02-27
IDCJAC0009	39085	1887	2	28	NA	NA		2	59	1887-02-28
IDCJAC0009	39085	1887	3	1	NA	NA		3	60	1887-03-01
IDCJAC0009	39085	1887	3	2	NA	NA		3	61	1887-03-02
IDCJAC0009	39085	1887	3	3	NA	NA		3	62	1887-03-03
IDCJAC0009	39085	1887	3	4	NA	NA		3	63	1887-03-04
IDCJAC0009	39085	1887	3	5	NA	NA		3	64	1887-03-05
IDCJAC0009	39085	1887	3	6	NA	NA		3	65	1887-03-06
IDCJAC0009	39085	1887	3	7	NA	NA		3	66	1887-03-07
IDCJAC0009	39085	1887	3	8	NA	NA		3	67	1887-03-08
IDCJAC0009	39085	1887	3	9	NA	NA		3	68	1887-03-09
IDCJAC0009	39085	1887	3	10	NA	NA		3	69	1887-03-10
IDCJAC0009	39085	1887	3	11	NA	NA		3	70	1887-03-11
IDCJAC0009	39085	1887	3	12	NA	NA		3	71	1887-03-12
IDCJAC0009	39085	1887	3	13	NA	NA		3	72	1887-03-13
IDCJAC0009	39085	1887	3	14	NA	NA		3	73	1887-03-14
IDCJAC0009	39085	1887	3	15	NA	NA		3	74	1887-03-15
IDCJAC0009	39085	1887	3	16	NA	NA		3	75	1887-03-16
IDCJAC0009	39085	1887	3	17	NA	NA		3	76	1887-03-17
IDCJAC0009	39085	1887	3	18	NA	NA		3	77	1887-03-18
IDCJAC0009	39085	1887	3	19	NA	NA		3	78	1887-03-19
IDCJAC0009	39085	1887	3	20	NA	NA		3	79	1887-03-20
IDCJAC0009	39085	1887	3	21	NA	NA		3	80	1887-03-21
IDCJAC0009	39085	1887	3	22	NA	NA		3	81	1887-03-22
IDCJAC0009	39085	1887	3	23	NA	NA		3	82	1887-03-23
IDCJAC0009	39085	1887	3	24	NA	NA		3	83	1887-03-24
IDCJAC0009	39085	1887	3	25	NA	NA		3	84	1887-03-25
IDCJAC0009	39085	1887	3	26	NA	NA		3	85	1887-03-26
IDCJAC0009	39085	1887	3	27	NA	NA		3	86	1887-03-27
IDCJAC0009	39085	1887	3	28	NA	NA		3	87	1887-03-28
IDCJAC0009	39085	1887	3	29	NA	NA		3	88	1887-03-29
IDCJAC0009	39085	1887	3	30	NA	NA		3	89	1887-03-30
IDCJAC0009	39085	1887	3	31	NA	NA		3	90	1887-03-31
IDCJAC0009	39085	1887	4	1	NA	NA		4	91	1887-04-01
IDCJAC0009	39085	1887	4	2	NA	NA		4	92	1887-04-02
IDCJAC0009	39085	1887	4	3	NA	NA		4	93	1887-04-03
IDCJAC0009	39085	1887	4	4	NA	NA		4	94	1887-04-04
IDCJAC0009	39085	1887	4	5	NA	NA		4	95	1887-04-05
IDCJAC0009	39085	1887	4	6	NA	NA		4	96	1887-04-06
IDCJAC0009	39085	1887	4	7	NA	NA		4	97	1887-04-07
IDCJAC0009	39085	1887	4	8	NA	NA		4	98	1887-04-08
IDCJAC0009	39085	1887	4	9	NA	NA		4	99	1887-04-09
IDCJAC0009	39085	1887	4	10	NA	NA		4	100	1887-04-10
IDCJAC0009	39085	1887	4	11	NA	NA		4	101	1887-04-11
IDCJAC0009	39085	1887	4	12	NA	NA		4	102	1887-04-12
IDCJAC0009	39085	1887	4	13	NA	NA		4	103	1887-04-13
IDCJAC0009	39085	1887	4	14	NA	NA		4	104	1887-04-14
IDCJAC0009	39085	1887	4	15	NA	NA		4	105	1887-04-15
IDCJAC0009	39085	1887	4	16	NA	NA		4	106	1887-04-16
IDCJAC0009	39085	1887	4	17	NA	NA		4	107	1887-04-17
IDCJAC0009	39085	1887	4	18	NA	NA		4	108	1887-04-18
IDCJAC0009	39085	1887	4	19	NA	NA		4	109	1887-04-19
IDCJAC0009	39085	1887	4	20	NA	NA		4	110	1887-04-20
IDCJAC0009	39085	1887	4	21	NA	NA		4	111	1887-04-21
IDCJAC0009	39085	1887	4	22	NA	NA		4	112	1887-04-22
IDCJAC0009	39085	1887	4	23	NA	NA		4	113	1887-04-23
IDCJAC0009	39085	1887	4	24	NA	NA		4	114	1887-04-24
IDCJAC0009	39085	1887	4	25	NA	NA		4	115	1887-04-25
IDCJAC0009	39085	1887	4	26	NA	NA		4	116	1887-04-26
IDCJAC0009	39085	1887	4	27	NA	NA		4	117	1887-04-27
IDCJAC0009	39085	1887	4	28	NA	NA		4	118	1887-04-28
IDCJAC0009	39085	1887	4	29	NA	NA		4	119	1887-04-29
IDCJAC0009	39085	1887	4	30	NA	NA		4	120	1887-04-30
IDCJAC0009	39085	1887	5	1	NA	NA		5	121	1887-05-01
IDCJAC0009	39085	1887	5	2	NA	NA		5	122	1887-05-02
IDCJAC0009	39085	1887	5	3	NA	NA		5	123	1887-05-03
IDCJAC0009	39085	1887	5	4	NA	NA		5	124	1887-05-04
IDCJAC0009	39085	1887	5	5	NA	NA		5	125	1887-05-05
IDCJAC0009	39085	1887	5	6	NA	NA		5	126	1887-05-06
IDCJAC0009	39085	1887	5	7	NA	NA		5	127	1887-05-07
IDCJAC0009	39085	1887	5	8	NA	NA		5	128	1887-05-08
IDCJAC0009	39085	1887	5	9	NA	NA		5	129	1887-05-09
IDCJAC0009	39085	1887	5	10	NA	NA		5	130	1887-05-10
IDCJAC0009	39085	1887	5	11	NA	NA		5	131	1887-05-11
IDCJAC0009	39085	1887	5	12	NA	NA		5	132	1887-05-12
IDCJAC0009	39085	1887	5	13	NA	NA		5	133	1887-05-13
IDCJAC0009	39085	1887	5	14	NA	NA		5	134	1887-05-14
IDCJAC0009	39085	1887	5	15	NA	NA		5	135	1887-05-15
IDCJAC0009	39085	1887	5	16	NA	NA		5	136	1887-05-16
IDCJAC0009	39085	1887	5	17	NA	NA		5	137	1887-05-17
IDCJAC0009	39085	1887	5	18	NA	NA		5	138	1887-05-18
IDCJAC0009	39085	1887	5	19	NA	NA		5	139	1887-05-19
IDCJAC0009	39085	1887	5	20	NA	NA		5	140	1887-05-20
IDCJAC0009	39085	1887	5	21	NA	NA		5	141	1887-05-21
IDCJAC0009	39085	1887	5	22	NA	NA		5	142	1887-05-22
IDCJAC0009	39085	1887	5	23	NA	NA		5	143	1887-05-23
IDCJAC0009	39085	1887	5	24	NA	NA		5	144	1887-05-24
IDCJAC0009	39085	1887	5	25	NA	NA		5	145	1887-05-25
IDCJAC0009	39085	1887	5	26	NA	NA		5	146	1887-05-26
IDCJAC0009	39085	1887	5	27	NA	NA		5	147	1887-05-27
IDCJAC0009	39085	1887	5	28	NA	NA		5	148	1887-05-28
IDCJAC0009	39085	1887	5	29	NA	NA		5	149	1887-05-29
IDCJAC0009	39085	1887	5	30	NA	NA		5	150	1887-05-30
IDCJAC0009	39085	1887	5	31	NA	NA		5	151	1887-05-31
IDCJAC0009	39085	1887	6	1	0	NA	Y	6	152	1887-06-01
IDCJAC0009	39085	1887	6	2	0	NA	Y	6	153	1887-06-02
IDCJAC0009	39085	1887	6	3	0	NA	Y	6	154	1887-06-03
IDCJAC0009	39085	1887	6	4	0	NA	Y	6	155	1887-06-04
IDCJAC0009	39085	1887	6	5	0	NA	Y	6	156	1887-06-05
IDCJAC0009	39085	1887	6	6	0	NA	Y	6	157	1887-06-06
IDCJAC0009	39085	1887	6	7	0	NA	Y	6	158	1887-06-07
IDCJAC0009	39085	1887	6	8	0	NA	Y	6	159	1887-06-08
IDCJAC0009	39085	1887	6	9	0	NA	Y	6	160	1887-06-09
IDCJAC0009	39085	1887	6	10	0	NA	Y	6	161	1887-06-10
IDCJAC0009	39085	1887	6	11	0	NA	Y	6	162	1887-06-11
IDCJAC0009	39085	1887	6	12	0	NA	Y	6	163	1887-06-12
IDCJAC0009	39085	1887	6	13	3	1	Y	6	164	1887-06-13
IDCJAC0009	39085	1887	6	14	0	NA	Y	6	165	1887-06-14
IDCJAC0009	39085	1887	6	15	0	NA	Y	6	166	1887-06-15
IDCJAC0009	39085	1887	6	16	5.8	1	Y	6	167	1887-06-16
IDCJAC0009	39085	1887	6	17	6.4	1	Y	6	168	1887-06-17
IDCJAC0009	39085	1887	6	18	0	NA	Y	6	169	1887-06-18
IDCJAC0009	39085	1887	6	19	0	NA	Y	6	170	1887-06-19
IDCJAC0009	39085	1887	6	20	0	NA	Y	6	171	1887-06-20
IDCJAC0009	39085	1887	6	21	0	NA	Y	6	172	1887-06-21
IDCJAC0009	39085	1887	6	22	0	NA	Y	6	173	1887-06-22
IDCJAC0009	39085	1887	6	23	0	NA	Y	6	174	1887-06-23
IDCJAC0009	39085	1887	6	24	0	NA	Y	6	175	1887-06-24
IDCJAC0009	39085	1887	6	25	0	NA	Y	6	176	1887-06-25
IDCJAC0009	39085	1887	6	26	0	NA	Y	6	177	1887-06-26
IDCJAC0009	39085	1887	6	27	0	NA	Y	6	178	1887-06-27
IDCJAC0009	39085	1887	6	28	1	1	Y	6	179	1887-06-28
IDCJAC0009	39085	1887	6	29	1.3	1	Y	6	180	1887-06-29
IDCJAC0009	39085	1887	6	30	1.5	1	Y	6	181	1887-06-30
IDCJAC0009	39085	1887	7	1	0	NA	Y	7	182	1887-07-01
IDCJAC0009	39085	1887	7	2	0	NA	Y	7	183	1887-07-02
IDCJAC0009	39085	1887	7	3	0	NA	Y	7	184	1887-07-03
IDCJAC0009	39085	1887	7	4	0.8	1	Y	7	185	1887-07-04
IDCJAC0009	39085	1887	7	5	30.5	1	Y	7	186	1887-07-05
IDCJAC0009	39085	1887	7	6	0	NA	Y	7	187	1887-07-06
IDCJAC0009	39085	1887	7	7	0	NA	Y	7	188	1887-07-07
IDCJAC0009	39085	1887	7	8	0	NA	Y	7	189	1887-07-08
IDCJAC0009	39085	1887	7	9	0	NA	Y	7	190	1887-07-09
IDCJAC0009	39085	1887	7	10	0	NA	Y	7	191	1887-07-10
IDCJAC0009	39085	1887	7	11	0	NA	Y	7	192	1887-07-11
IDCJAC0009	39085	1887	7	12	0	NA	Y	7	193	1887-07-12
IDCJAC0009	39085	1887	7	13	22.1	1	Y	7	194	1887-07-13
IDCJAC0009	39085	1887	7	14	57.7	1	Y	7	195	1887-07-14
IDCJAC0009	39085	1887	7	15	4.8	1	Y	7	196	1887-07-15
IDCJAC0009	39085	1887	7	16	0	NA	Y	7	197	1887-07-16
IDCJAC0009	39085	1887	7	17	0	NA	Y	7	198	1887-07-17
IDCJAC0009	39085	1887	7	18	0	NA	Y	7	199	1887-07-18
IDCJAC0009	39085	1887	7	19	0	NA	Y	7	200	1887-07-19
IDCJAC0009	39085	1887	7	20	0	NA	Y	7	201	1887-07-20
IDCJAC0009	39085	1887	7	21	0	NA	Y	7	202	1887-07-21
IDCJAC0009	39085	1887	7	22	0	NA	Y	7	203	1887-07-22
IDCJAC0009	39085	1887	7	23	0	NA	Y	7	204	1887-07-23
IDCJAC0009	39085	1887	7	24	0	NA	Y	7	205	1887-07-24
IDCJAC0009	39085	1887	7	25	0	NA	Y	7	206	1887-07-25
IDCJAC0009	39085	1887	7	26	0	NA	Y	7	207	1887-07-26
IDCJAC0009	39085	1887	7	27	0	NA	Y	7	208	1887-07-27
IDCJAC0009	39085	1887	7	28	0	NA	Y	7	209	1887-07-28
IDCJAC0009	39085	1887	7	29	1.5	1	Y	7	210	1887-07-29
IDCJAC0009	39085	1887	7	30	0.8	1	Y	7	211	1887-07-30
IDCJAC0009	39085	1887	7	31	0	NA	Y	7	212	1887-07-31
IDCJAC0009	39085	1887	8	1	0	NA	Y	8	213	1887-08-01
IDCJAC0009	39085	1887	8	2	0	NA	Y	8	214	1887-08-02
IDCJAC0009	39085	1887	8	3	0	NA	Y	8	215	1887-08-03
IDCJAC0009	39085	1887	8	4	0	NA	Y	8	216	1887-08-04
IDCJAC0009	39085	1887	8	5	0	NA	Y	8	217	1887-08-05
IDCJAC0009	39085	1887	8	6	0	NA	Y	8	218	1887-08-06
IDCJAC0009	39085	1887	8	7	0	NA	Y	8	219	1887-08-07
IDCJAC0009	39085	1887	8	8	3	1	Y	8	220	1887-08-08
IDCJAC0009	39085	1887	8	9	6.6	1	Y	8	221	1887-08-09
IDCJAC0009	39085	1887	8	10	2.3	1	Y	8	222	1887-08-10
IDCJAC0009	39085	1887	8	11	11.9	1	Y	8	223	1887-08-11
IDCJAC0009	39085	1887	8	12	1.8	1	Y	8	224	1887-08-12
IDCJAC0009	39085	1887	8	13	59.4	1	Y	8	225	1887-08-13
IDCJAC0009	39085	1887	8	14	2	1	Y	8	226	1887-08-14
IDCJAC0009	39085	1887	8	15	0	NA	Y	8	227	1887-08-15
IDCJAC0009	39085	1887	8	16	0	NA	Y	8	228	1887-08-16
IDCJAC0009	39085	1887	8	17	0	NA	Y	8	229	1887-08-17
IDCJAC0009	39085	1887	8	18	0	NA	Y	8	230	1887-08-18
IDCJAC0009	39085	1887	8	19	0	NA	Y	8	231	1887-08-19
IDCJAC0009	39085	1887	8	20	0	NA	Y	8	232	1887-08-20
IDCJAC0009	39085	1887	8	21	0	NA	Y	8	233	1887-08-21
IDCJAC0009	39085	1887	8	22	2.5	1	Y	8	234	1887-08-22
IDCJAC0009	39085	1887	8	23	19.1	1	Y	8	235	1887-08-23
IDCJAC0009	39085	1887	8	24	0	NA	Y	8	236	1887-08-24
IDCJAC0009	39085	1887	8	25	5.8	1	Y	8	237	1887-08-25
IDCJAC0009	39085	1887	8	26	0	NA	Y	8	238	1887-08-26
IDCJAC0009	39085	1887	8	27	0	NA	Y	8	239	1887-08-27
IDCJAC0009	39085	1887	8	28	0	NA	Y	8	240	1887-08-28
IDCJAC0009	39085	1887	8	29	0	NA	Y	8	241	1887-08-29
IDCJAC0009	39085	1887	8	30	0	NA	Y	8	242	1887-08-30
IDCJAC0009	39085	1887	8	31	0	NA	Y	8	243	1887-08-31
IDCJAC0009	39085	1887	9	1	0	NA	Y	9	244	1887-09-01
IDCJAC0009	39085	1887	9	2	0	NA	Y	9	245	1887-09-02
IDCJAC0009	39085	1887	9	3	0	NA	Y	9	246	1887-09-03
IDCJAC0009	39085	1887	9	4	0	NA	Y	9	247	1887-09-04
IDCJAC0009	39085	1887	9	5	0	NA	Y	9	248	1887-09-05
IDCJAC0009	39085	1887	9	6	0	NA	Y	9	249	1887-09-06
IDCJAC0009	39085	1887	9	7	6.6	1	Y	9	250	1887-09-07
IDCJAC0009	39085	1887	9	8	0	NA	Y	9	251	1887-09-08
IDCJAC0009	39085	1887	9	9	0	NA	Y	9	252	1887-09-09
IDCJAC0009	39085	1887	9	10	0	NA	Y	9	253	1887-09-10
