receptor	year	month	day	hour	hour.inc	lat	lon	height	pressure	date2	date
1	1951	1	26	0	0	-27.44	153.55	2000	NA	1951-01-26T00:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	23	-1	-27.566	153.804	1972.2	NA	1951-01-25T23:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	22	-2	-27.676	154.06	1945	NA	1951-01-25T22:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	21	-3	-27.772	154.315	1917.5	NA	1951-01-25T21:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	20	-4	-27.854	154.57	1888.8	NA	1951-01-25T20:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	19	-5	-27.922	154.823	1857.8	NA	1951-01-25T19:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	18	-6	-27.976	155.074	1823.4	NA	1951-01-25T18:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	17	-7	-28.013	155.32	1780.2	NA	1951-01-25T17:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	16	-8	-28.027	155.559	1726.3	NA	1951-01-25T16:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	15	-9	-28.019	155.792	1662.6	NA	1951-01-25T15:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	14	-10	-27.988	156.021	1590.4	NA	1951-01-25T14:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	13	-11	-27.934	156.247	1511.2	NA	1951-01-25T13:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	12	-12	-27.853	156.472	1426.6	NA	1951-01-25T12:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	11	-13	-27.747	156.684	1344.1	NA	1951-01-25T11:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	10	-14	-27.618	156.865	1270.2	NA	1951-01-25T10:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	9	-15	-27.468	157.013	1205.1	NA	1951-01-25T09:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	8	-16	-27.302	157.123	1149.3	NA	1951-01-25T08:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	7	-17	-27.125	157.19	1102.7	NA	1951-01-25T07:00:00Z	1951-01-26T00:00:00Z
1	1951	1	25	6	-18	-26.94	157.216	1064.6	NA	1951-01-25T06:00:00Z	1951-01-26T00:00:00Z
