year	month	day	hour	hour.inc	lat	lon	height	date.start	trajectory
2022	3	26	0	0	-27.44	153.55	2000	2022-03-26	26263
2022	3	25	23	-1	-27.417	153.577	1961.8	2022-03-26	26263
2022	3	25	22	-2	-27.405	153.608	1925.6	2022-03-26	26263
2022	3	25	21	-3	-27.405	153.643	1891.3	2022-03-26	26263
2022	3	25	20	-4	-27.417	153.682	1858.7	2022-03-26	26263
2022	3	25	19	-5	-27.441	153.723	1827.6	2022-03-26	26263
2022	3	25	18	-6	-27.476	153.768	1797.8	2022-03-26	26263
2022	3	25	17	-7	-27.517	153.817	1769.9	2022-03-26	26263
2022	3	25	16	-8	-27.556	153.871	1743.3	2022-03-26	26263
2022	3	25	15	-9	-27.594	153.931	1719.2	2022-03-26	26263
2022	3	25	14	-10	-27.631	153.997	1697.5	2022-03-26	26263
2022	3	25	13	-11	-27.666	154.068	1678.6	2022-03-26	26263
2022	3	25	12	-12	-27.7	154.143	1662.3	2022-03-26	26263
2022	3	25	11	-13	-27.733	154.221	1647.3	2022-03-26	26263
2022	3	25	10	-14	-27.765	154.299	1631.3	2022-03-26	26263
2022	3	25	9	-15	-27.796	154.376	1614.7	2022-03-26	26263
2022	3	25	8	-16	-27.827	154.452	1597.8	2022-03-26	26263
2022	3	25	7	-17	-27.857	154.528	1580.7	2022-03-26	26263
2022	3	25	6	-18	-27.887	154.603	1563.6	2022-03-26	26263
2022	3	25	5	-19	-27.919	154.679	1546.2	2022-03-26	26263
2022	3	25	4	-20	-27.954	154.758	1528.5	2022-03-26	26263
2022	3	25	3	-21	-27.992	154.841	1510.6	2022-03-26	26263
2022	3	25	2	-22	-28.032	154.926	1492.6	2022-03-26	26263
2022	3	25	1	-23	-28.074	155.013	1474.6	2022-03-26	26263
2022	3	25	0	-24	-28.116	155.102	1456.2	2022-03-26	26263
2022	3	24	23	-25	-28.157	155.189	1442.7	2022-03-26	26263
2022	3	24	22	-26	-28.193	155.274	1438.9	2022-03-26	26263
2022	3	24	21	-27	-28.225	155.356	1444.5	2022-03-26	26263
